dependency,window,signal_target,dependency_model,signal_model,Accuracy,BalancedAccuracy,PrecisionDown,RecallDown,F1Down,AUC,ExitRate,AvgReturnFlagged,AvgReturnClear,n_test
corr_BTC-USD_UUP,14,stress_UUP,AR1,RF_Cls,0.7992565055762082,0.49799520747823195,0.15625,0.04424778761061947,0.06896551724137931,0.4990114435297002,0.04758364312267658,0.0007099484789361125,7.863757902842499e-05,1345
corr_BTC-USD_UUP,14,stress_UUP,AR1,GBM_Cls,0.8104089219330854,0.49940093477899833,0.16279069767441862,0.030973451327433628,0.05204460966542751,0.4979438025417764,0.03197026022304833,0.00032210105264289545,0.00010162910608577504,1345
corr_BTC-USD_UUP,30,stress_UUP,AR1,Logit,0.6019563581640331,0.5003260869565218,0.16956521739130434,0.3466666666666667,0.22773722627737225,0.521256038647343,0.34612490594431905,0.0002905552303480983,-2.4750580835256833e-05,1329
corr_BTC-USD_UUP,30,stress_UUP,AR1,RF_Cls,0.8036117381489842,0.5066968599033816,0.20967741935483872,0.057777777777777775,0.09059233449477352,0.5328743961352657,0.046651617757712566,-0.00064361387128895,0.00012000884864577893,1329
corr_BTC-USD_UUP,30,stress_UUP,AR1,GBM_Cls,0.8133935289691497,0.5055072463768115,0.21951219512195122,0.04,0.06766917293233082,0.5387479871175523,0.030850263355906696,-0.0006518341121926924,0.0001078201473712635,1329
corr_BTC-USD_UUP,60,stress_UUP,AR1,Logit,0.6189376443418014,0.5037830309418053,0.17422434367541767,0.32882882882882886,0.22776911076443057,0.5103223000158933,0.32255581216320245,0.00025647989925998597,-2.500559395314795e-05,1299
corr_BTC-USD_UUP,60,stress_UUP,AR1,RF_Cls,0.8044649730561971,0.5030239152801828,0.19230769230769232,0.04504504504504504,0.072992700729927,0.5223552243050851,0.04003079291762895,0.0005574782378350172,4.5285715111261444e-05,1299
corr_BTC-USD_UUP,60,stress_UUP,AR1,GBM_Cls,0.8052347959969207,0.5017001681347085,0.1836734693877551,0.04054054054054054,0.06642066420664207,0.5249650764971099,0.037721324095458045,-3.772392925981842e-05,6.984690211591601e-05,1299
corr_BTC-USD_UUP,90,stress_UUP,AR1,Logit,0.6233254531126872,0.4992674639248047,0.16876574307304787,0.3116279069767442,0.21895424836601307,0.5185781739552535,0.3128447596532703,0.00026439306630107035,2.1322592676654054e-06,1269
corr_BTC-USD_UUP,90,stress_UUP,AR1,GBM_Cls,0.8069345941686368,0.5042804818851772,0.2,0.046511627906976744,0.07547169811320754,0.5417942720974361,0.039401103230890466,-0.00017573927530567608,9.484031268926407e-05,1269
corr_BTC-USD_UUP,90,stress_UUP,AR1,RF_Cls,0.8037825059101655,0.49868055249106397,0.16,0.037209302325581395,0.06037735849056604,0.5154671020696351,0.039401103230890466,0.00016731762816983798,8.07690697247229e-05,1269
